Restaurant ID,Restaurant Name ID,Country Code,City ID,Address ID,Locality ID,Locality Verbose ID,Longitude,Latitude,Cuisines,Average Cost for two,Currency ID,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating Color ID,Rating Text ID,Votes,Sales (in USD)
6600681,22,30,76,331,784,68,-47.88178889,-15.76414167,"Fast Food, French",55,9,0,0,0,0,2,3,4,3,6,376
6600379,27,30,76,342,785,69,-47.91566667,-15.831,Japanese,80,9,0,0,0,0,3,3.1,4,3,10,120
6600970,26,30,76,339,785,69,-47.91566667,-15.83116667,Pizza,50,9,0,0,0,0,2,3.2,4,3,11,412
6711179,62,30,32,8671,1099,224,-46.65866667,-23.55616667,Indian,70,9,0,0,0,0,3,3.1,4,3,5,186
6601515,32,30,76,340,719,457,-48.019,-15.83716667,Pizza,100,9,0,0,0,0,4,3.1,4,3,9,447
6700402,68,30,32,8678,708,490,-46.666041,-23.561568,French,200,9,0,0,0,0,4,3.4,4,3,73,498
6601158,38,30,76,335,1077,816,-47.87283333,-15.82566667,Seafood,240,9,0,0,0,0,4,3.2,4,3,6,249
6600116,39,30,76,334,1139,1037,-47.885812,-15.720118,Italian,350,9,0,0,0,0,4,3.3,4,3,8,360
17284105,82,216,20,64,203,39,-84.154,31.5772,,0,6,0,0,0,0,1,3.4,4,3,34,384
17284203,81,216,20,62,203,39,-84.207095,31.608743,"American, BBQ",10,6,0,0,0,0,1,3.3,4,3,25,237
17284302,83,216,20,65,203,39,-84.2194,31.6158,Mexican,0,6,0,0,0,0,1,3.4,4,3,45,216
17284397,84,216,20,66,203,39,-84.206944,31.622412,"Coffee and Tea, Sandwich",10,6,0,0,0,0,1,3.4,4,3,26,377
17284404,80,216,20,61,203,39,-84.221535,31.610387,"BBQ, Burger, Seafood",25,6,0,0,0,0,2,3.3,4,3,35,343
17284211,85,216,20,75,203,39,-84.1759,31.5882,,0,6,0,0,0,0,1,3.4,4,3,36,391
16608864,140,14,129,220,614,92,115.9844924,-33.7845269,Modern Australian,20,6,0,0,0,0,2,3.2,4,3,21,382
18483372,447,184,45,8701,74,105,103.8600048,1.2826608,"Chinese, Continental, Singaporean",300,6,0,0,0,0,4,3.4,4,3,34,120
17697444,530,216,90,8879,189,162,-92.456343,42.516908,"Indian, Middle Eastern",10,6,0,0,0,0,1,3.2,4,3,18,444
18483389,450,184,45,8698,516,187,103.8416688,1.280502991,American,80,6,0,0,0,0,4,3.1,4,3,34,463
18366580,184,216,125,425,261,217,-114.472474,51.183934,"Asian, Japanese",25,6,0,0,0,0,2,3.1,4,3,6,247
17330755,185,216,62,483,106,220,-84.992671,32.470315,"Asian, Vietnamese",10,6,0,0,0,0,1,3.3,4,3,33,421
16643459,204,37,101,486,569,225,-110.7746994,52.0082889,"Chinese, Canadian",25,6,0,0,0,0,2,3,4,3,6,287
17335189,230,216,61,522,98,255,-90.574088,41.593892,"American, Breakfast",25,6,0,0,0,0,2,3.4,4,3,53,336
17259958,246,216,31,558,104,299,-93.627896,41.583309,"Latin American, Mexican",25,6,0,0,0,0,2,3.2,4,3,113,392
17342648,264,216,95,621,150,305,-90.6684746,42.5032004,Mexican,10,6,0,0,0,0,1,3.4,4,3,153,147
17342816,262,216,95,608,150,305,-90.667668,42.504759,Breakfast,10,6,0,0,0,0,1,3.4,4,3,33,225
17342498,263,216,95,609,150,305,-90.6499328,42.5124724,Seafood,25,6,0,0,0,0,2,3.3,4,3,40,348
17342799,266,216,95,625,150,305,-90.664029,42.495689,Italian,25,6,0,0,0,0,2,3.4,4,3,58,246
17342781,265,216,95,624,150,305,-90.658609,42.496464,"American, BBQ, Seafood",25,6,0,0,0,0,2,3.3,4,3,65,188
18485469,455,184,45,8690,494,538,103.8146178,1.29782554,"Italian, French, Bakery, Cafe",50,6,0,0,0,0,3,3.2,4,3,29,458
18479690,456,184,45,8705,201,587,103.8621195,1.310668316,"American, Japanese, Singaporean",80,6,0,0,0,0,4,3.2,4,3,30,473
18493989,458,184,45,8697,634,652,103.8558665,1.289761964,"Singaporean, Chinese, Seafood, Malay, Indian",30,6,0,0,0,0,3,3,4,3,25,133
16611701,335,14,127,2235,598,661,151.7343832,-32.899178,Asian,20,6,0,0,0,0,2,2.9,4,3,11,162
17606621,338,216,110,2238,158,682,-98.9891,44.5158,,0,6,0,0,0,0,1,3.4,4,3,11,327
18482983,461,184,45,8704,274,723,103.840921,1.278373182,"Singaporean, Australian, German",60,6,0,0,0,0,4,3.1,4,3,33,384
18479742,462,184,45,8695,622,739,103.8584296,1.301707168,"Western, Fusion, Fast Food",60,6,0,0,0,0,4,3.2,4,3,32,482
18255631,363,14,122,8447,637,794,147.7227832,-37.9194154,Modern Australian,120,6,0,0,0,0,4,2.6,4,3,16,326
16608483,364,14,105,8448,525,798,140.837409,-37.379153,"Cafe, Coffee and Tea, Sandwich",20,6,0,0,0,0,2,3.4,4,3,19,471
17629582,405,216,74,8490,124,819,-116.704731,32.613431,"American, BBQ, Burger",25,6,0,0,0,0,2,3.3,4,3,9,216
18482938,463,184,45,8703,1180,870,103.839165,1.290083898,"American, Mexican",95,6,0,0,0,0,4,3.2,4,3,30,338
17615915,427,216,63,8639,122,902,-81.0954,32.0804,Southern,40,6,0,0,0,0,3,3.3,4,3,1201,445
17284364,99,216,20,60,407,1093,-83.8389,31.5308,"American, Breakfast, Diner",10,6,0,0,0,0,1,3.4,4,3,20,217
17678243,507,216,22,8815,132,1194,-83.319123,30.846819,Bar Food,25,6,0,0,0,0,2,3.4,4,3,98,495
17678043,508,216,22,8818,132,1194,-83.3247,30.8426,Mexican,25,6,0,0,0,0,2,3.1,4,3,83,460
18483252,466,184,45,8687,323,1208,103.8519943,1.299707726,"Cafe, Spanish, Turkish, Greek",75,6,0,0,0,0,4,3.2,4,3,33,361
17559793,549,216,106,8912,362,1249,-124.175346,43.678998,"Burger, Seafood, Steak",25,6,0,0,0,0,2,3.2,4,3,16,500
16668008,550,37,57,8913,283,1260,-102.4613173,51.2106824,Asian,25,6,0,0,0,0,2,3.3,4,3,26,437
201044,582,214,39,601,887,1118,55.278525,25.198291,"Seafood, American",285,2,0,0,0,0,3,3.2,4,3,506,225
18237941,619,1,14,1648,194,1,77.0392204,28.4249125,"North Indian, Mughlai",800,1,1,1,0,0,2,2.7,4,3,80,284
18396451,1087,1,14,1459,194,1,77.0393103,28.4248315,"Cafe, Beverages",350,1,0,0,0,0,1,3.4,4,3,16,172
18384127,2226,1,5,3838,618,9,77.1980333,28.5375472,"South Indian, North Indian",500,1,0,0,0,0,2,2.6,4,3,11,476
313333,2225,1,5,3728,618,9,77.19747473,28.53549308,"North Indian, Seafood, Continental",1500,1,1,1,0,0,3,3.4,4,3,45,233
582,2227,1,5,4287,618,9,77.1969242,28.5355234,"South Indian, North Indian, Chinese",500,1,0,1,0,0,2,3.4,4,3,238,297
18216944,2224,1,5,3106,618,9,77.19692286,28.53538174,Fast Food,350,1,0,1,0,0,1,3.2,4,3,46,411
304243,2229,1,5,6333,618,9,77.19815936,28.53744768,Fast Food,400,1,0,1,0,0,1,2.7,4,3,64,400
3554,2230,1,5,6615,618,9,77.19795015,28.53747419,South Indian,450,1,0,1,0,0,1,2.6,4,3,113,207
18414465,2228,1,5,5281,618,9,77.1981225,28.5381335,Mughlai,400,1,0,0,0,0,1,3.1,4,3,8,497
197,685,1,5,3861,303,11,77.3016337,28.6564531,"Pizza, Fast Food",700,1,0,0,0,0,2,2.8,4,3,83,289
18334443,2237,1,5,2817,303,11,77.3006287,28.6557549,Finger Food,600,1,0,0,0,0,2,3.2,4,3,31,443
18255141,1777,1,5,3414,303,11,77.3011977,28.6560516,"North Indian, Mughlai",800,1,1,1,0,0,2,3.4,4,3,32,271
18258757,2239,1,5,2863,739,13,77.087897,28.554463,"Fast Food, Italian, Pizza",550,1,0,0,0,0,2,3.2,4,3,33,482
307383,2240,1,5,3604,739,13,77.120642,28.55169,"North Indian, Continental, Chinese",900,1,1,0,0,0,2,3.2,4,3,26,385
310491,2242,1,5,2360,192,15,77.1346226,28.6901424,"North Indian, Chinese",1000,1,1,1,0,0,3,2.6,4,3,49,144
18222573,2244,1,5,6346,192,15,77.13477239,28.68990208,"North Indian, Chinese",1500,1,1,1,0,0,3,3.2,4,3,64,252
18337789,2243,1,5,6094,192,15,77.1345554,28.6900143,"Street Food, Mithai",200,1,0,0,0,0,1,3.3,4,3,13,422
1078,593,1,5,5847,341,16,77.1172629,28.7006935,"Italian, Pizza, Fast Food",1000,1,0,1,0,0,3,2.6,4,3,125,399
3370,2245,1,5,3067,341,16,77.1177269,28.7003322,"Street Food, South Indian, Mithai",400,1,0,0,0,0,1,3.4,4,3,167,441
307439,2246,1,5,3476,341,16,77.1176394,28.7006401,"North Indian, Chinese",900,1,1,1,0,0,2,3.3,4,3,99,384
7610,831,1,5,4304,71,37,77.24689879,28.52810941,"Raw Meats, North Indian, Fast Food",350,1,0,0,0,0,1,3.2,4,3,35,118
306531,2261,1,5,5885,71,37,77.25118,28.52757,North Indian,500,1,0,1,1,0,2,2.5,4,3,37,183
18258759,2264,1,5,7079,71,37,77.252479,28.523785,"Bakery, Desserts",450,1,0,0,0,0,1,3.4,4,3,22,447
7584,1608,1,5,2948,71,37,77.2542551,28.5253209,"Mithai, Street Food",200,1,0,0,0,0,1,3.3,4,3,20,410
301440,2259,1,5,5537,71,37,77.25402072,28.52553898,"Bakery, Fast Food",200,1,0,0,0,0,1,3.2,4,3,21,263
7585,2260,1,5,5737,71,37,77.25401971,28.52572397,"Desserts, Ice Cream",150,1,0,0,0,0,1,3.3,4,3,16,211
7594,2251,1,5,3352,71,37,77.2540557,28.5255719,"Mithai, North Indian, South Indian, Street Food",400,1,0,0,0,0,1,3,4,3,7,214
7593,2258,1,5,5527,71,37,77.2540306,28.5257928,Chinese,450,1,0,0,0,0,1,2.9,4,3,42,339
7639,2254,1,5,5121,71,37,77.2532459,28.52560319,Chinese,300,1,0,1,0,0,1,2.5,4,3,32,359
18351495,2250,1,5,3277,71,37,0,0,Bakery,400,1,0,0,0,0,1,3.4,4,3,19,429
9971,2256,1,5,5434,71,37,77.253851,28.5253274,"North Indian, Mughlai",600,1,0,0,0,0,2,3.2,4,3,23,249
7580,2249,1,5,2473,71,37,77.2542078,28.52497428,"Mithai, North Indian, South Indian, Street Food",400,1,0,0,0,0,1,2.9,4,3,8,359
18412603,2253,1,5,5025,71,37,77.2545694,28.5256646,"Chinese, North Indian, Italian, Mughlai",600,1,0,1,0,0,2,3,4,3,11,378
18337782,2263,1,5,6322,71,37,77.2540755,28.5258419,"North Indian, South Indian, Chinese",500,1,0,1,0,0,2,2.8,4,3,7,243
7583,2252,1,5,3443,71,37,77.25411225,28.52569245,Fast Food,150,1,0,0,0,0,1,2.7,4,3,11,244
7582,881,1,5,3134,71,37,77.25014627,28.52813297,Cafe,450,1,0,0,0,0,1,3.2,4,3,23,265
18441545,2255,1,5,5397,71,37,77.249793,28.525675,"Chinese, Thai",800,1,0,1,0,0,2,3.2,4,3,10,438
18354658,2262,1,5,5951,71,37,77.2542022,28.533376,North Indian,250,1,0,0,0,0,1,2.9,4,3,4,391
18451572,2257,1,5,5438,71,37,77.24780235,28.52774267,"Street Food, Fast Food, Beverages",400,1,0,0,0,0,1,3.1,4,3,7,164
310723,1058,1,5,3088,366,45,77.1551985,28.5417053,"Burger, Fast Food",500,1,0,1,0,0,2,3.2,4,3,458,496
7253,2277,1,5,4981,366,45,77.155068,28.5411683,"Asian, Chinese",700,1,0,0,0,0,2,2.6,4,3,176,110
7249,2275,1,5,2509,366,45,77.1549849,28.541562,Turkish,600,1,0,1,0,0,2,2.5,4,3,100,408
7246,2276,1,5,2509,366,45,77.1549896,28.5414797,"Pizza, Italian",800,1,0,1,0,0,2,3.1,4,3,230,375
5565,2284,1,5,5310,540,48,77.2187517,28.5555634,"Chinese, Fast Food, North Indian, South Indian",450,1,0,0,0,0,1,3.4,4,3,280,296
6258,2286,1,5,2447,327,49,77.3169197,28.6603476,"Fast Food, North Indian, Chinese, Desserts",200,1,0,0,0,0,1,2.8,4,3,13,371
18337975,2295,1,5,4698,327,49,77.3103233,28.6578549,"Cafe, North Indian, Fast Food",600,1,0,0,0,0,2,2.9,4,3,4,408
6094,2287,1,5,2798,327,49,77.3063202,28.6594964,"Chinese, Fast Food",400,1,0,0,0,0,1,3.1,4,3,38,118
